Location/Field,Leaf_Color,Symptoms,Whitefly_Presence,Temperature,Humidity,Soil_Moisture,Previous_Crop,Cotton_Variety,Disease_Type
Punjab,Green,Absent,No,30.70379086,Mid,Warm,Grains,Hybrid,Normal
Telangana,Green,Twist or Curl upwards,Yes,34.82655803,High,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Maharashtra,Green,Absent,No,25.88964666,High,Warm,Grains,Hybrid,Normal
Chhattisgarh,Green,Absent,No,34.25536701,High,Warm,Legumes,Hybrid,Normal
Haryana,Green,Absent,No,16.51210081,Mid,Warm,Grains,Hybrid,Normal
Haryana,Brown,Lesions,No,22.31361497,Mid,Warm,Oilseeds,Region-Specific,Bacterial Blight
Tamil Nadu,Green,Absent,No,19.50762536,High,Warm,Legumes,Hybrid,Normal
Telangana,Yellow,Wilting,No,18.91666168,High,Moist,Grains,Hybrid,Fusarium Wilt
Haryana,Yellow,Wilting,No,17.81605898,High,Moist,Grains,Region-Specific,Fusarium Wilt
West Bengal,Yellow,Wilting,No,27.44827283,Low,Dry,Grains,Region-Specific,Verticillium Wilt
Jharkhand,Yellow,Wilting,No,30.62643711,Low,Dry,Legumes,Hybrid,Verticillium Wilt
Maharashtra,Green,Absent,No,26.56596799,Low,Warm,Grains,Region-Specific,Normal
Tamil Nadu,Green,Absent,No,17.93925419,Mid,Warm,Oilseeds,Hybrid,Normal
Odisha,Brown,Lesions,No,31.2224754,High,Warm,Legumes,Region-Specific,Bacterial Blight
Maharashtra,Green,Absent,No,27.71909414,Mid,Warm,Legumes,Hybrid,Normal
Tamil Nadu,Green,Absent,No,22.76331412,Mid,Warm,Grains,Hybrid,Normal
Chhattisgarh,Green,Absent,No,28.48260591,Mid,Warm,Oilseeds,Region-Specific,Normal
Telangana,Green,Twist or Curl upwards,Yes,20.19809958,High,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Chhattisgarh,Green,Twist or Curl upwards,Yes,21.90384417,Low,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Jharkhand,Brown,Lesions,No,33.34971686,High,Warm,Oilseeds,Region-Specific,Bacterial Blight
Jharkhand,Brown,Lesions,No,20.81009011,High,Warm,Grains,Hybrid,Bacterial Blight
Punjab,Yellow,Wilting,No,24.39976536,Mid,Moist,Grains,Region-Specific,Fusarium Wilt
Chhattisgarh,Brown,Lesions,No,32.80282275,Mid,Warm,Legumes,Hybrid,Bacterial Blight
Rajasthan,Yellow,Wilting,No,29.15442701,Mid,Moist,Legumes,Hybrid,Fusarium Wilt
Odisha,Green,Absent,No,16.24406452,Low,Warm,Grains,Hybrid,Normal
Karnataka,Brown,Lesions,No,17.94606089,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Chhattisgarh,Brown,Lesions,No,15.15683182,Low,Warm,Legumes,Hybrid,Bacterial Blight
Punjab,Brown,Lesions,No,27.6184358,High,Warm,Oilseeds,Hybrid,Bacterial Blight
Madhya Pradesh,Yellow,Wilting,No,23.95346851,Mid,Moist,Oilseeds,Region-Specific,Fusarium Wilt
West Bengal,Yellow,Wilting,No,17.68549702,High,Moist,Grains,Hybrid,Fusarium Wilt
Maharashtra,Yellow,Wilting,No,34.15868242,Low,Dry,Grains,Hybrid,Verticillium Wilt
Jharkhand,Yellow,Wilting,No,25.59319448,Mid,Moist,Grains,Hybrid,Fusarium Wilt
Madhya Pradesh,Yellow,Wilting,No,19.83786588,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Punjab,Green,Twist or Curl upwards,Yes,25.01207142,Mid,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Tamil Nadu,Brown,Lesions,No,28.59240665,Mid,Warm,Legumes,Hybrid,Bacterial Blight
Karnataka,Yellow,Wilting,No,16.52478436,High,Moist,Oilseeds,Hybrid,Fusarium Wilt
Odisha,Brown,Lesions,No,20.4940763,High,Warm,Grains,Region-Specific,Bacterial Blight
Odisha,Brown,Lesions,No,31.13930982,Low,Warm,Grains,Region-Specific,Bacterial Blight
Odisha,Green,Twist or Curl upwards,Yes,24.19329741,High,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
West Bengal,Brown,Lesions,No,25.93154284,High,Warm,Oilseeds,Hybrid,Bacterial Blight
Karnataka,Yellow,Wilting,No,23.65632004,High,Moist,Grains,Hybrid,Fusarium Wilt
West Bengal,Brown,Lesions,No,15.87799885,Mid,Warm,Legumes,Hybrid,Bacterial Blight
Jharkhand,Yellow,Wilting,No,18.3149956,High,Dry,Grains,Hybrid,Verticillium Wilt
West Bengal,Yellow,Wilting,No,23.91083277,Low,Dry,Oilseeds,Hybrid,Verticillium Wilt
Gujarat,Green,Twist or Curl upwards,Yes,19.18370931,Mid,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Karnataka,Yellow,Wilting,No,15.99958057,Mid,Moist,Grains,Hybrid,Fusarium Wilt
Rajasthan,Green,Twist or Curl upwards,Yes,31.87299328,High,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Karnataka,Yellow,Wilting,No,34.62385058,Mid,Dry,Grains,Region-Specific,Verticillium Wilt
Punjab,Yellow,Wilting,No,30.86285748,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Gujarat,Brown,Lesions,No,32.07569843,Low,Warm,Grains,Hybrid,Bacterial Blight
Odisha,Yellow,Wilting,No,19.83954261,Mid,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Punjab,Green,Absent,No,34.21253951,High,Warm,Oilseeds,Region-Specific,Normal
Punjab,Yellow,Wilting,No,18.93851409,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Jharkhand,Brown,Lesions,No,34.02859621,Mid,Warm,Grains,Hybrid,Bacterial Blight
Uttar Pradesh,Green,Absent,No,34.89638588,Low,Warm,Oilseeds,Region-Specific,Normal
Andhra Pradesh,Green,Twist or Curl upwards,Yes,29.23445611,Mid,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Gujarat,Yellow,Wilting,No,34.62287464,High,Moist,Grains,Region-Specific,Fusarium Wilt
Punjab,Green,Twist or Curl upwards,Yes,26.39079559,High,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Andhra Pradesh,Yellow,Wilting,No,20.19083566,Mid,Moist,Legumes,Hybrid,Fusarium Wilt
Andhra Pradesh,Yellow,Wilting,No,23.73991771,Low,Dry,Legumes,Hybrid,Verticillium Wilt
Gujarat,Yellow,Wilting,No,26.87121871,Mid,Dry,Legumes,Region-Specific,Verticillium Wilt
Uttar Pradesh,Brown,Lesions,No,16.46163124,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Madhya Pradesh,Yellow,Wilting,No,27.44686529,Low,Dry,Legumes,Region-Specific,Verticillium Wilt
Tamil Nadu,Green,Absent,No,34.62355674,Mid,Warm,Legumes,Hybrid,Normal
Rajasthan,Green,Absent,No,18.802153,Mid,Warm,Grains,Region-Specific,Normal
Tamil Nadu,Yellow,Wilting,No,30.85190233,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Karnataka,Green,Twist or Curl upwards,Yes,33.15797588,Low,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Odisha,Green,Absent,No,33.87403186,Low,Warm,Grains,Region-Specific,Normal
Rajasthan,Yellow,Wilting,No,34.20271209,Low,Moist,Legumes,Hybrid,Fusarium Wilt
Karnataka,Green,Twist or Curl upwards,Yes,25.42919277,High,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Punjab,Yellow,Wilting,No,34.54615816,Mid,Dry,Oilseeds,Hybrid,Verticillium Wilt
Odisha,Yellow,Wilting,No,30.14620414,Low,Moist,Legumes,Hybrid,Fusarium Wilt
Maharashtra,Green,Twist or Curl upwards,Yes,18.23342872,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Gujarat,Brown,Lesions,No,24.53800213,Low,Warm,Legumes,Hybrid,Bacterial Blight
Rajasthan,Brown,Lesions,No,29.36662351,Mid,Warm,Legumes,Region-Specific,Bacterial Blight
Rajasthan,Green,Absent,No,19.94680632,Mid,Warm,Oilseeds,Region-Specific,Normal
Chhattisgarh,Green,Twist or Curl upwards,Yes,27.81230367,Low,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Punjab,Brown,Lesions,No,28.33200958,Low,Warm,Oilseeds,Region-Specific,Bacterial Blight
Madhya Pradesh,Green,Absent,No,18.25399488,Mid,Warm,Legumes,Hybrid,Normal
Andhra Pradesh,Yellow,Wilting,No,26.30170625,Mid,Moist,Oilseeds,Hybrid,Fusarium Wilt
Odisha,Yellow,Wilting,No,30.43253822,Mid,Moist,Oilseeds,Hybrid,Fusarium Wilt
Punjab,Green,Twist or Curl upwards,Yes,24.97791329,High,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Haryana,Green,Twist or Curl upwards,Yes,15.24206234,Low,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Uttar Pradesh,Green,Twist or Curl upwards,Yes,15.18076938,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Andhra Pradesh,Green,Twist or Curl upwards,Yes,22.14058688,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Gujarat,Brown,Lesions,No,33.52388137,Low,Warm,Oilseeds,Region-Specific,Bacterial Blight
Andhra Pradesh,Brown,Lesions,No,19.57353559,Low,Warm,Oilseeds,Region-Specific,Bacterial Blight
Madhya Pradesh,Green,Absent,No,27.68727378,High,Warm,Grains,Region-Specific,Normal
Jharkhand,Brown,Lesions,No,19.44151741,Low,Warm,Legumes,Hybrid,Bacterial Blight
Chhattisgarh,Yellow,Wilting,No,21.43339979,Mid,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Andhra Pradesh,Green,Absent,No,31.96084179,Mid,Warm,Oilseeds,Hybrid,Normal
Gujarat,Brown,Lesions,No,29.57722885,High,Warm,Grains,Region-Specific,Bacterial Blight
Madhya Pradesh,Green,Twist or Curl upwards,Yes,16.90798555,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Tamil Nadu,Brown,Lesions,No,23.57404042,Low,Warm,Oilseeds,Region-Specific,Bacterial Blight
Rajasthan,Yellow,Wilting,No,15.58339527,Low,Dry,Grains,Hybrid,Verticillium Wilt
Jharkhand,Green,Absent,No,24.61780293,High,Warm,Oilseeds,Hybrid,Normal
Chhattisgarh,Brown,Lesions,No,28.24868023,High,Warm,Oilseeds,Hybrid,Bacterial Blight
Rajasthan,Brown,Lesions,No,17.37005247,Mid,Warm,Grains,Region-Specific,Bacterial Blight
Uttar Pradesh,Yellow,Wilting,No,20.77769878,Mid,Moist,Legumes,Hybrid,Fusarium Wilt
Karnataka,Green,Twist or Curl upwards,Yes,22.95673251,Low,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Jharkhand,Green,Twist or Curl upwards,Yes,33.39062049,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Jharkhand,Yellow,Wilting,No,34.86510031,Low,Moist,Legumes,Hybrid,Fusarium Wilt
Tamil Nadu,Yellow,Wilting,No,15.89822598,Low,Moist,Grains,Hybrid,Fusarium Wilt
Tamil Nadu,Yellow,Wilting,No,30.22015847,Low,Dry,Legumes,Region-Specific,Verticillium Wilt
Odisha,Green,Absent,No,22.43448133,Mid,Warm,Oilseeds,Hybrid,Normal
West Bengal,Green,Twist or Curl upwards,Yes,22.84916372,High,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Andhra Pradesh,Yellow,Wilting,No,30.08529947,High,Moist,Grains,Hybrid,Fusarium Wilt
Jharkhand,Yellow,Wilting,No,33.36852864,Mid,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Rajasthan,Green,Absent,No,34.01857189,High,Warm,Grains,Hybrid,Normal
Gujarat,Yellow,Wilting,No,26.54245172,Low,Moist,Grains,Hybrid,Fusarium Wilt
Telangana,Yellow,Wilting,No,22.14242319,High,Dry,Legumes,Hybrid,Verticillium Wilt
West Bengal,Green,Absent,No,30.75098172,Mid,Warm,Legumes,Region-Specific,Normal
Telangana,Yellow,Wilting,No,20.02002767,High,Dry,Grains,Hybrid,Verticillium Wilt
Chhattisgarh,Brown,Lesions,No,26.28148058,Low,Warm,Grains,Hybrid,Bacterial Blight
Madhya Pradesh,Green,Twist or Curl upwards,Yes,22.17156923,Low,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Rajasthan,Yellow,Wilting,No,28.13262147,Mid,Moist,Grains,Region-Specific,Fusarium Wilt
Rajasthan,Green,Absent,No,19.80797826,Mid,Warm,Grains,Region-Specific,Normal
West Bengal,Yellow,Wilting,No,18.83185891,Mid,Dry,Legumes,Hybrid,Verticillium Wilt
Jharkhand,Green,Twist or Curl upwards,Yes,33.36478173,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Uttar Pradesh,Green,Twist or Curl upwards,Yes,17.03607366,High,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
West Bengal,Yellow,Wilting,No,25.11915815,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Telangana,Green,Twist or Curl upwards,Yes,19.41705566,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
West Bengal,Yellow,Wilting,No,15.77859927,High,Moist,Legumes,Hybrid,Fusarium Wilt
Rajasthan,Brown,Lesions,No,15.72037637,High,Warm,Legumes,Hybrid,Bacterial Blight
Uttar Pradesh,Yellow,Wilting,No,18.50443544,Mid,Moist,Grains,Region-Specific,Fusarium Wilt
Andhra Pradesh,Yellow,Wilting,No,32.33540709,Mid,Dry,Grains,Region-Specific,Verticillium Wilt
Haryana,Green,Twist or Curl upwards,Yes,20.64957488,Low,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Odisha,Green,Twist or Curl upwards,Yes,34.00918341,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Maharashtra,Green,Twist or Curl upwards,Yes,26.63244586,Low,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Tamil Nadu,Yellow,Wilting,No,23.7322838,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
West Bengal,Green,Absent,No,26.60177669,High,Warm,Oilseeds,Region-Specific,Normal
Chhattisgarh,Yellow,Wilting,No,25.3339677,High,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Karnataka,Yellow,Wilting,No,30.17552508,Low,Dry,Grains,Hybrid,Verticillium Wilt
Madhya Pradesh,Yellow,Wilting,No,20.64992132,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
Haryana,Green,Twist or Curl upwards,Yes,22.06100783,Mid,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Odisha,Brown,Lesions,No,32.88188605,High,Warm,Grains,Hybrid,Bacterial Blight
Odisha,Yellow,Wilting,No,33.92913026,High,Dry,Grains,Region-Specific,Verticillium Wilt
Odisha,Brown,Lesions,No,32.85116455,Low,Warm,Oilseeds,Region-Specific,Bacterial Blight
Odisha,Yellow,Wilting,No,23.38895988,High,Dry,Grains,Hybrid,Verticillium Wilt
Telangana,Yellow,Wilting,No,30.60731006,Mid,Dry,Legumes,Region-Specific,Verticillium Wilt
Chhattisgarh,Green,Twist or Curl upwards,Yes,24.52671467,Mid,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Chhattisgarh,Yellow,Wilting,No,24.95079704,High,Moist,Grains,Region-Specific,Fusarium Wilt
Uttar Pradesh,Green,Twist or Curl upwards,Yes,19.09360218,Low,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Tamil Nadu,Green,Twist or Curl upwards,Yes,26.82260607,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Rajasthan,Green,Twist or Curl upwards,Yes,18.72271796,Mid,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Odisha,Brown,Lesions,No,21.63129398,Low,Warm,Oilseeds,Region-Specific,Bacterial Blight
Karnataka,Yellow,Wilting,No,32.10060403,High,Dry,Legumes,Hybrid,Verticillium Wilt
Rajasthan,Green,Absent,No,19.14151618,Low,Warm,Grains,Hybrid,Normal
Chhattisgarh,Yellow,Wilting,No,16.4231657,Low,Moist,Grains,Region-Specific,Fusarium Wilt
Gujarat,Green,Twist or Curl upwards,Yes,16.38015185,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Gujarat,Yellow,Wilting,No,33.81569041,Low,Dry,Legumes,Hybrid,Verticillium Wilt
Karnataka,Yellow,Wilting,No,25.13840876,High,Moist,Legumes,Hybrid,Fusarium Wilt
Uttar Pradesh,Green,Absent,No,23.18824144,Low,Warm,Grains,Region-Specific,Normal
Chhattisgarh,Green,Absent,No,31.21757162,Low,Warm,Oilseeds,Hybrid,Normal
Karnataka,Green,Twist or Curl upwards,Yes,31.71651856,High,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Telangana,Green,Absent,No,21.64382066,Mid,Warm,Grains,Region-Specific,Normal
West Bengal,Green,Absent,No,28.87236115,Mid,Warm,Legumes,Region-Specific,Normal
Karnataka,Yellow,Wilting,No,30.42245632,High,Moist,Legumes,Hybrid,Fusarium Wilt
Andhra Pradesh,Yellow,Wilting,No,28.09301374,High,Moist,Grains,Region-Specific,Fusarium Wilt
Rajasthan,Green,Twist or Curl upwards,Yes,18.0319015,Mid,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Haryana,Yellow,Wilting,No,32.51766167,Low,Dry,Oilseeds,Hybrid,Verticillium Wilt
Punjab,Green,Twist or Curl upwards,Yes,25.78189105,High,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Uttar Pradesh,Brown,Lesions,No,20.64944853,Low,Warm,Grains,Region-Specific,Bacterial Blight
Karnataka,Green,Absent,No,23.50456371,High,Warm,Oilseeds,Region-Specific,Normal
Chhattisgarh,Yellow,Wilting,No,15.75142181,Mid,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Madhya Pradesh,Yellow,Wilting,No,17.55733602,Low,Moist,Oilseeds,Hybrid,Fusarium Wilt
Gujarat,Brown,Lesions,No,30.31093501,Low,Warm,Grains,Hybrid,Bacterial Blight
Andhra Pradesh,Brown,Lesions,No,15.0002327,High,Warm,Legumes,Region-Specific,Bacterial Blight
